delta_over_gamma_e,Re_chi_full,Im_chi_full,Re_chi_cut,Im_chi_cut,Re_R_S,Im_R_S
-1.136,0.46856387915871445,-0.4983923837679084,0.4365866607058035,-0.4959624465617927,0.03197721845291096,-0.002429937206115673
-1.135,0.46906070418274054,-0.49842171076332975,0.43701996088671347,-0.4960176556064198,0.032040743296027074,-0.0024040551569099455
-1.134,0.46955813652174166,-0.4984505718175758,0.43745373926707254,-0.4960725403288602,0.032104397254669126,-0.0023780314887155707
-1.133,0.4700561766632878,-0.498478965197879,0.4378879961325731,-0.4961270996182054,0.032168180530714685,-0.0023518655796735954
-1.132,0.470554825093336,-0.49850688916617025,0.4383227317675278,-0.4961813323608414,0.03223209332580823,-0.0023255568053288656
-1.131,0.4710540822962128,-0.49853434197906565,0.43875794645485766,-0.496235237440444,0.032296135841355156,-0.0022991045386216435
-1.13,0.4715539487546025,-0.49856132188785207,0.43919364047608594,-0.49628881373797706,0.03236030827851655,-0.0022725081498750077
-1.129,0.4720544249495306,-0.49858782713847233,0.4396298141113257,-0.4963420601316867,0.032424610838204915,-0.0022457670067856372
-1.128,0.47255551136034946,-0.4986138559715123,0.44006646763927226,-0.4963949754970991,0.03248904372107719,-0.0022188804744132096
-1.127,0.47305720846472343,-0.49863940662218487,0.4405036013371927,-0.4964475587070162,0.03255360712753075,-0.0021918479151686876
-1.126,0.4735595167386139,-0.49866447732031743,0.440941215480917,-0.4964998086315125,0.03261830125769688,-0.0021646686888049382
-1.125,0.47406243665626313,-0.49868906629033644,0.4413793103448276,-0.496551724137931,0.03268312631143555,-0.002137342152405408
-1.1239999999999999,0.47456596869018075,-0.49871317175125346,0.44181788620185075,-0.49660330409088016,0.03274808248833,-0.002109867660373299
-1.123,0.4750701133111266,-0.49873679191665005,0.4422569433234459,-0.49665454735222975,0.03281316998768069,-0.002082244564420299
-1.1219999999999999,0.4755748709880973,-0.49875992499466476,0.442696481979597,-0.4967054527811078,0.03287838900850032,-0.0020544722135569793
-1.121,0.4760802421883088,-0.4987825691879776,0.44313650243880176,-0.4967560192338968,0.03294373974950704,-0.002026549954080803
-1.1199999999999999,0.47658622737718276,-0.49880472269379605,0.44357700496806246,-0.4968062455642299,0.0330092224091203,-0.001998477129566134
-1.119,0.4770928270183289,-0.49882638370383975,0.444017989832876,-0.4968561306229883,0.0330748371854529,-0.0019702530808514696
-1.1179999999999999,0.4776000415735318,-0.49884755040432777,0.4444594572972243,-0.4969056732582967,0.033140584276307505,-0.0019418771460310569
