Gamma_over_gamma_e,abs_R_full_optical,abs_R_all_coherences,abs_R_selective_e2,abs_R_class_I
824.8746552614581,5.808249633218349e-06,1.4218805646781796e-10,0.799225886464392,4.336855498807466e-19
870.5612479099856,5.217904888149209e-06,1.209719728903491e-10,0.7992664206961897,2.168479899900482e-19
918.7782428863321,4.6874086450247835e-06,1.029208782001717e-10,0.7993048373072473,0.0
969.6657893145521,4.210716295860422e-06,8.756275869312158e-11,0.7993412464025181,1.4607876662066889e-21
1023.3717986325192,3.7823903574686295e-06,7.449596690391191e-11,0.7993757524204644,1.312201163474019e-21
1080.0523745162518,3.39753999003038e-06,6.337873964794988e-11,0.7994084544180013,0.0
1139.8722666160502,3.051766467122619e-06,5.3920272652212275e-11,0.7994394463419037,0.0
1203.005349423324,2.7411140224522188e-06,4.5873124960085776e-11,0.799468817287224,0.0
1269.6351276599728,2.46202555244047e-06,3.9026756327477374e-11,0.7994966517432537,0.0
1339.955269659337,2.2113027028837317e-06,3.3202025764150767e-11,0.799523029827554,0.0
1414.1701702890211,1.9860699125804404e-06,2.824651059926686e-11,0.7995480275085671,0.0
1492.4955450518291,1.7837420274191014e-06,2.40305233394425e-11,0.799571716817311,0.0
1575.1590570916212,1.6019951353161533e-06,2.044372093487623e-11,0.7995941660486374,5.5578950380841945e-22
1662.4009789266102,1.4387403059008683e-06,1.739222090998971e-11,0.7996154399525282,0.0
1754.4748908334595,1.2920999492320824e-06,1.4796146187608106e-11,0.7996355999158806,1.0842114397739525e-19
1851.6484179121542,1.160386535413334e-06,1.2587536048214165e-11,0.7996547041352244,0.0
1954.2040079740514,1.042083441951516e-06,1.0708569664688583e-11,0.7996728077807884,1.0842021724855044e-19
2062.4397525140885,9.358277183452719e-07,9.110052989758088e-12,0.7996899631523287,3.2467561041012843e-22
2176.6702531534593,8.403945778855742e-07,7.750132079067246e-12,0.7997062198271045,2.9156652732871477e-22
2297.227536071151,7.546834451995073e-07,6.593198263824679e-12,0.7997216248003816,5.421010862427522e-20
2424.462017082326,6.777054048529306e-07,5.608956224825712e-12,0.7997362226188186,0.0
2558.743520168584,6.085719114994756e-07,4.771631820135042e-12,0.7997500555070841,0.0
2700.4623524206822,5.464846357812089e-07,4.059296735553497e-12,0.7997631634880331,5.421010862427522e-20
2850.0304385181053,4.907263325814864e-07,3.4532954295597718e-12,0.7997755844967578,0.0
3007.882518043096,4.406526294248567e-07,2.937756320760959e-12,0.7997873544888144,5.421032419807777e-20
3174.4774091091867,3.956846429275449e-07,2.4991766468807075e-12,0.799798507542916,5.421028244535023e-20
3350.2993419772297,3.5530234032815224e-07,2.1260689064307725e-12,0.7998090759583613,1.2326956223285124e-22
3535.859366535176,3.190385713631619e-07,1.8086601010283698e-12,0.7998190903474662,1.106881755129079e-22
3731.696837732748,2.864737031803027e-07,1.5386358636834685e-12,0.7998285797232472,0.0
3938.380983288481,2.5723079768351966e-07,1.3089229678429903e-12,0.7998375715825906,5.421018208450684e-20
4156.512558225988,2.3097127674824263e-07,1.1135037390839347e-12,0.7998460919851421,5.421016785168445e-20
4386.725591048495,2.073910261874435e-07,9.47258737378151e-13,0.7998541656281241,2.710514981502496e-20
4629.689226627258,1.862168942644484e-07,8.058329394391994e-13,0.7998618159172938,0.0
4886.109671160326,1.6720354496735364e-07,6.85521111447665e-13,0.7998690650342345,2.710505431213761e-20
5156.732244854963,1.501306302492969e-07,5.831712879527523e-13,0.7998759340001649,5.421020871788476e-20
5442.34354830026,1.3480024902665098e-07,4.961019659313615e-13,0.7998824427364477,2.710509465989672e-20
5743.773748826575,1.2103466396314363e-07,4.220319026974201e-13,0.7998886101219619,0.0
6061.8989934975725,1.086742499760894e-07,3.5902045767734203e-13,0.799894454047502,0.0
6397.643955748424,9.757565102555719e-08,3.054166078028664e-13,0.7998999914673539,3.38533016843866e-23
6751.984523072494,8.761012410532688e-08,2.5981593178986406e-13,0.799905238448194,2.710505431213761e-20
7125.950633568396,7.86620514789842e-08,2.2102350331898446e-13,0.7999102102154473,2.7105068051594313e-20
7520.629269592407,7.062760411443228e-08,1.8802293706363105e-13,0.7999149211972378,2.710505431213761e-20
7937.167617217543,6.341354099270673e-08,1.5994947337102938e-13,0.7999193850660504,0.0
8376.776400682907,5.6936130511629714e-08,1.3606753527725668e-13,0.7999236147782278,1.3552527156068805e-20
8840.733401525045,5.112018159825567e-08,1.157512941833e-13,0.7999276226114095,1.355253876130813e-20
9330.38717262036,4.5898173396571956e-08,9.846843392752325e-14,0.7999314202000215,1.3552527156068805e-20
9847.160957933764,4.120947352203508e-08,8.376600194731632e-14,0.7999350185689174,0.0
10392.55682936711,3.6999635888171015e-08,7.125875410574078e-14,0.799938428165265,2.7105057351864656e-20
10968.16005273138,3.321977002153644e-08,6.061900384869007e-14,0.7999416588887706,0.0
11575.643695533035,2.982597459909762e-08,5.1567813062237955e-14,0.7999447201203276,1.3552531106632158e-20
12216.773489967905,2.677882868033003e-08,4.3868080283789024e-14,0.7999476207491688,0.0
12893.41296525713,2.4042934766580717e-08,3.73179812789351e-14,0.7999503691986015,0.0
